iter	Passed	Remaining
0	1	129
1	2	114
2	3	110
3	4	101
4	5	99
5	6	98
6	7	97
7	8	102
8	10	101
9	11	99
10	12	97
11	13	96
12	14	94
13	15	93
14	16	95
15	17	93
16	18	91
17	19	90
18	20	88
19	21	87
20	24	91
21	25	90
22	26	90
23	28	88
24	29	87
25	30	86
26	31	85
27	32	83
28	33	82
29	34	81
30	35	79
31	37	79
32	39	79
33	40	77
34	41	76
35	42	74
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	63
44	51	63
45	53	62
46	54	61
47	55	60
48	56	58
49	57	57
50	58	56
51	60	55
52	61	54
53	62	52
54	62	51
55	63	50
56	64	48
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	83	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	89	21
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	105	3
97	106	2
98	107	1
99	108	0
